

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
417.748  000.044  000.044: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-snippets/plugin/vimsnippets.vim
417.969  000.018  000.018: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-surround/plugin/surround.vim
419.423  000.482  000.482: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-yankstack/autoload/yankstack.vim
420.263  002.096  001.614: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-yankstack/plugin/yankstack.vim
420.580  000.101  000.101: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-zenroom2/plugin/zenroom2.vim
420.869  000.066  000.066: sourcing /Users/harvey/.vim_runtime/sources_forked/set_tabline/plugin/set_tabline.vim
421.275  000.178  000.178: sourcing /Users/harvey/.vim_runtime/sources_forked/vim-peepopen/plugin/peepopen.vim
421.555  000.064  000.064: sourcing /Users/harvey/.vim/bundle/vim-easymotion/plugin/EasyMotion.vim
422.574  000.086  000.086: sourcing /usr/local/share/vim/vim82/plugin/getscriptPlugin.vim
423.081  000.417  000.417: sourcing /usr/local/share/vim/vim82/plugin/gzip.vim
423.488  000.311  000.311: sourcing /usr/local/share/vim/vim82/plugin/logiPat.vim
423.625  000.040  000.040: sourcing /usr/local/share/vim/vim82/plugin/manpager.vim
423.956  000.242  000.242: sourcing /usr/local/share/vim/vim82/plugin/matchparen.vim
424.891  000.837  000.837: sourcing /usr/local/share/vim/vim82/plugin/netrwPlugin.vim
425.031  000.021  000.021: sourcing /usr/local/share/vim/vim82/plugin/rrhelper.vim
425.171  000.034  000.034: sourcing /usr/local/share/vim/vim82/plugin/spellfile.vim
425.477  000.206  000.206: sourcing /usr/local/share/vim/vim82/plugin/tarPlugin.vim
425.717  000.133  000.133: sourcing /usr/local/share/vim/vim82/plugin/tohtml.vim
426.037  000.217  000.217: sourcing /usr/local/share/vim/vim82/plugin/vimballPlugin.vim
426.403  000.250  000.250: sourcing /usr/local/share/vim/vim82/plugin/zipPlugin.vim
426.444  015.875: loading plugins
426.568  000.124: loading packages
427.298  000.401  000.401: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-snipmate/after/plugin/snipMate.vim
428.598  000.328  000.328: sourcing /Users/harvey/.vim_runtime/sources_non_forked/tabular/autoload/tabular.vim
430.931  003.295  002.967: sourcing /Users/harvey/.vim_runtime/sources_non_forked/tabular/after/plugin/TabularMaps.vim
431.005  000.741: loading after plugins
431.020  000.015: inits 3
431.510  000.490: reading viminfo
431.548  000.038: setting raw mode
431.579  000.031: start termcap
431.617  000.038: clearing screen
432.870  000.299  000.299: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/autoload/syntastic/log.vim
433.017  001.101: opening buffers
434.331  000.512  000.512: sourcing /Users/harvey/.vim_runtime/autoload/lightline.vim/autoload/lightline.vim
435.198  000.061  000.061: sourcing /Users/harvey/.vim_runtime/autoload/lightline.vim/autoload/lightline/tab.vim
436.186  000.258  000.258: sourcing /Users/harvey/.vim_runtime/autoload/lightline.vim/autoload/lightline/colorscheme.vim
437.083  001.528  001.270: sourcing /Users/harvey/.vim_runtime/autoload/lightline.vim/autoload/lightline/colorscheme/wombat.vim
444.455  000.190  000.190: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-gitgutter/autoload/gitgutter.vim
445.150  009.842: BufEnter autocommands
445.153  000.003: editing files in windows
447.462  000.856  000.856: sourcing /Users/harvey/.vim_runtime/autoload/tabnine-vim/autoload/youcompleteme.vim
641.798  195.789: VimEnter autocommands
641.804  000.006: before starting main loop
658.372  012.457  012.457: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-fugitive/autoload/fugitive.vim
663.732  009.471: first screen update
663.737  000.005: --- VIM STARTED ---
